['2017-08-29 16:30 Tue', '1.2919', '1.2933', '1.2933', '1.2979', '1.2915', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-08-30 16:30 Wed', '1.2919', '1.2918', '1.2918', '1.2938', '1.2879', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-08-31 16:30 Thu', '1.2933', '1.2925', '1.2925', '1.2935', '1.2853', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-01 16:30 Fri', '1.2954', '1.2930', '1.2930', '1.2995', '1.2906', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-04 16:30 Mon', '1.2928', '1.2951', '1.2951', '1.2966', '1.2913', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-05 16:30 Tue', '1.3030', '1.2931', '1.2931', '1.3042', '1.2909', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-06 16:30 Wed', '1.3046', '1.3033', '1.3033', '1.3082', '1.3019', '1.3441', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-07 16:30 Thu', '1.3106', '1.3043', '1.3043', '1.3116', '1.3033', '1.3376', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-08 16:30 Fri', '1.3206', '1.3101', '1.3102', '1.3224', '1.3094', '1.3347', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-11 17:11 Mon', '1.3164', '1.3200', '1.3163', '1.3165', '1.3162', '1.3347', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-12 16:30 Tue', '1.3282', '1.3163', '1.3163', '1.3298', '1.3161', '1.3341', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-13 16:30 Wed', '1.3207', '1.3283', '1.3283', '1.3329', '1.3185', '1.3329', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-14 16:30 Thu', '1.3399', '1.3211', '1.3211', '1.3404', '1.3155', '1.3404', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-15 16:30 Fri', '1.3589', '1.3399', '1.3399', '1.3616', '1.3382', '1.3616', '1.1841', '', '', 'GBPUSD:CUR']
