['2017-08-29 16:30 Tue', '112.26', '112.260', '112.265', '112.290', '112.245', '112.290', '111.805', '350500', '1386376', 'FGBSU7']
['2017-08-30 16:30 Wed', '112.27', '112.265', '112.26', '112.275', '112.240', '112.290', '111.805', '303100', '1329482', 'FGBSU7']
['2017-08-31 16:30 Thu', '112.275', '112.265', '112.265', '112.280', '112.255', '112.290', '111.805', '284400', '1235608', 'FGBSU7']
['2017-09-01 16:30 Fri', '112.27', '112.270', '112.285', '112.285', '112.245', '112.290', '111.805', '455800', '1140104', 'FGBSU7']
['2017-09-04 16:30 Mon', '112.29', '112.295', '112.275', '112.300', '112.270', '112.300', '111.805', '604700', '1032632', 'FGBSU7']
['2017-09-05 16:30 Tue', '112.26', '112.220', '112.215', '112.260', '112.195', '112.260', '111.760', '716200', '890269', 'FGBSZ7']
['2017-09-06 16:30 Wed', '112.175', '112.190', '112.26', '112.260', '112.175', '112.260', '111.760', '504900', '1178463', 'FGBSZ7']
['2017-09-07 16:30 Thu', '112.265', '112.260', '112.185', '112.270', '112.165', '112.270', '111.760', '252200', '1234383', 'FGBSZ7']
['2017-09-08 16:30 Fri', '112.245', '112.255', '112.28', '112.285', '112.230', '112.285', '111.760', '181200', '1249654', 'FGBSZ7']
['2017-09-11 17:11 Mon', '112.25', '112.255', '112.245', '112.255', '112.230', '112.285', '111.760', '127100', '1250666', 'FGBSZ7']
['2017-09-12 16:30 Tue', '112.21', '112.195', '112.25', '112.250', '112.190', '112.285', '111.760', '250700', '1244450', 'FGBSZ7']
['2017-09-13 16:30 Wed', '112.19', '112.180', '112.215', '112.215', '112.175', '112.285', '111.760', '185600', '1274877', 'FGBSZ7']
['2017-09-14 16:30 Thu', '112.20', '112.180', '112.20', '112.215', '112.165', '112.285', '111.760', '259300', '1277793', 'FGBSZ7']
['2017-09-15 16:30 Fri', '112.15', '112.135', '112.195', '112.205', '112.120', '112.285', '111.760', '280200', '1271668', 'FGBSZ7']
