['2017-08-29 16:30 Tue', '3388.22', '3421.03', '3411.89', '3411.89', '3363.68', '3666.80', '2922.82', '205354112', '', 'SX5E:IND']
['2017-08-30 16:30 Wed', '3403.71', '3388.22', '3405.65', '3412.26', '3397.27', '3666.80', '2922.82', '414841984', '', 'SX5E:IND']
['2017-08-31 16:30 Thu', '3421.47', '3403.71', '3409.62', '3437.82', '3409.62', '3666.80', '2922.82', '274019104', '', 'SX5E:IND']
['2017-09-01 16:30 Fri', '3443.88', '3421.47', '3425.84', '3454.55', '3425.84', '3666.80', '2922.82', '417510112', '', 'SX5E:IND']
['2017-09-04 16:30 Mon', '3430.42', '3443.88', '3436.36', '3438.06', '3419.06', '3666.80', '2922.82', '297274688', '', 'SX5E:IND']
['2017-09-05 16:30 Tue', '3420.86', '3430.42', '3432.55', '3448.93', '3415.98', '3666.80', '2922.82', '196398640', '', 'SX5E:IND']
['2017-09-06 16:30 Wed', '3433.80', '3420.86', '3407.94', '3444.48', '3396.69', '3666.80', '2922.82', '298266848', '', 'SX5E:IND']
['2017-09-07 16:30 Thu', '3447.66', '3433.80', '3437.61', '3467.94', '3437.61', '3666.80', '2922.82', '433690688', '', 'SX5E:IND']
['2017-09-08 16:30 Fri', '3447.69', '3447.66', '3441.34', '3453.35', '3433.63', '3666.80', '2922.82', '447335200', '', 'SX5E:IND']
['2017-09-11 17:11 Mon', '3495.19', '3447.69', '3456.77', '3496.70', '3456.77', '3666.80', '2922.82', '343951360', '', 'SX5E:IND']
['2017-09-12 16:30 Tue', '3512.56', '3495.19', '3498.32', '3520.82', '3498.32', '3666.80', '2922.82', '372685760', '', 'SX5E:IND']
['2017-09-13 16:30 Wed', '3523.14', '3512.56', '3509.64', '3529.18', '3506.61', '3666.80', '2922.82', '376743776', '', 'SX5E:IND']
['2017-09-14 16:30 Thu', '3526.48', '3523.14', '3521.03', '3530.28', '3512.01', '3666.80', '2922.82', '399493408', '', 'SX5E:IND']
['2017-09-15 16:30 Fri', '3515.55', '3526.48', '3526.01', '3532.78', '3509.93', '3666.80', '2922.82', '381472192', '', 'SX5E:IND']
