['2017-08-29 16:30 Tue', '2447.50', '2447.00', '2434.00', '2448.50', '2421.00', '2488.50', '2025.00', '1600000', '3165053', 'ESU7']
['2017-08-30 16:30 Wed', '2456.00', '2455.75', '2446.50', '2459.75', '2442.75', '2488.50', '2025.00', '1300000', '3176774', 'ESU7']
['2017-08-31 16:30 Thu', '2469.00', '2470.00', '2455.25', '2474.25', '2454.75', '2488.50', '2025.00', '1700000', '3193564', 'ESU7']
['2017-09-01 16:30 Fri', '2474.00', '2474.25', '2470.25', '2479.75', '2470.00', '2488.50', '2025.00', '1000000', '3208773', 'ESU7']
['2017-09-04 16:30 Mon', '2468.00', '2474.25', '2461.25', '2469.00', '2460.25', '2488.50', '2025.00', '210200', '3192258', 'ESU7']
['2017-09-05 16:30 Tue', '2460.00', '2459.75', '2461.25', '2471.25', '2445.50', '2488.50', '2025.00', '2100000', '3189967', 'ESU7']
['2017-09-06 16:30 Wed', '2466.00', '2465.50', '2460.25', '2469.00', '2456.50', '2488.50', '2025.00', '1500000', '3120167', 'ESU7']
['2017-09-07 16:30 Thu', '2466.75', '2466.50', '2464.00', '2468.75', '2457.50', '2488.50', '2025.00', '1500000', '3048416', 'ESU7']
['2017-09-08 16:30 Fri', '2461.00', '2461.00', '2464.75', '2465.75', '2455.25', '2486.25', '2061.00', '1500000', '719665', 'ESZ7']
['2017-09-15 16:52 Fri', '2495.00', '', '2493.75', '2496.75', '2487.00', '2496.75', '2061.00', '719700', '3059813', 'ESZ7']
['2017-09-15 17:09 Fri', '2495.75', '2494.25', '2493.75', '2496.75', '2487.00', '2496.75', '2061.00', '743000', '3059813', 'ESZ7']
['2017-09-15 17:29 Fri', '2495.75', '2494.25', '2493.75', '2496.75', '2487.00', '2496.75', '2061.00', '770000', '3059813', 'ESZ7']
