['2017-08-29 16:30 Tue', '2447.50', '2447.00', '2434.00', '2448.50', '2421.00', '2488.50', '2025.00', '1600000', '3165053', 'ESU7']
['2017-08-30 16:30 Wed', '2456.00', '2455.75', '2446.50', '2459.75', '2442.75', '2488.50', '2025.00', '1300000', '3176774', 'ESU7']
['2017-08-31 16:30 Thu', '2469.00', '2470.00', '2455.25', '2474.25', '2454.75', '2488.50', '2025.00', '1700000', '3193564', 'ESU7']
['2017-09-01 16:30 Fri', '2474.00', '2474.25', '2470.25', '2479.75', '2470.00', '2488.50', '2025.00', '1000000', '3208773', 'ESU7']
['2017-09-04 16:30 Mon', '2468.00', '2474.25', '2461.25', '2469.00', '2460.25', '2488.50', '2025.00', '210200', '3192258', 'ESU7']
['2017-09-05 16:30 Tue', '2460.00', '2459.75', '2461.25', '2471.25', '2445.50', '2488.50', '2025.00', '2100000', '3189967', 'ESU7']
['2017-09-06 16:30 Wed', '2466.00', '2465.50', '2460.25', '2469.00', '2456.50', '2488.50', '2025.00', '1500000', '3120167', 'ESU7']
['2017-09-07 16:30 Thu', '2466.75', '2466.50', '2464.00', '2468.75', '2457.50', '2488.50', '2025.00', '1500000', '3048416', 'ESU7']
['2017-09-08 16:30 Fri', '2461.00', '2461.00', '2464.75', '2465.75', '2455.25', '2486.25', '2061.00', '1500000', '719665', 'ESZ7']
['2017-09-11 17:11 Mon', '2486.50', '2485.75', '2467.75', '2487.25', '2466.75', '2487.25', '2061.00', '1900000', '1244827', 'ESZ7']
['2017-09-12 16:30 Tue', '2494.25', '2494.20', '2486.50', '2494.75', '2485.25', '2494.75', '2061.00', '1700000', '1942428', 'ESZ7']
['2017-09-13 16:30 Wed', '2495.00', '2494.75', '2495.25', '2495.50', '2489.00', '2495.50', '2061.00', '1400000', '2617586', 'ESZ7']
['2017-09-14 16:30 Thu', '2494.75', '2494.25', '2494.50', '2496.25', '2487.50', '2496.25', '2061.00', '1300000', '2954281', 'ESZ7']
['2017-09-15 16:30 Fri', '2497.25', '2497.25', '2493.75', '2498.00', '2487.00', '2498.00', '2061.00', '1300000', '3059813', 'ESZ7']
['2017-09-18 16:40 Mon', '2502.75', '2502.75', '2499.00', '2506.00', '2497.75', '2506.00', '2061.00', '1100000', '3088031', 'ESZ7']
['2017-09-19 16:30 Tue', '2504.25', '2504.75', '2502.75', '2506.00', '2501.00', '2506.00', '2061.00', '943900', '3107021', 'ESZ7']
['2017-09-20 16:30 Wed', '2505.00', '2505.25', '2503.75', '2507.25', '2494.00', '2507.25', '2061.00', '1200000', '3077878', 'ESZ7']
['2017-09-21 16:30 Thu', '2500.75', '2501.00', '2504.50', '2506.25', '2496.50', '2507.25', '2061.00', '1100000', '3084444', 'ESZ7']
['2017-09-22 16:54 Fri', '2499.25', '2499.50', '2500.75', '2501.00', '2492.00', '2507.25', '2061.00', '1000000', '3073085', 'ESZ7']
