['2017-08-29 16:30 Tue', '0.424', '0.455', '0.437', '0.438', '0.405', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-08-30 16:30 Wed', '0.439', '0.424', '0.426', '0.454', '0.426', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-08-31 16:30 Thu', '0.441', '0.439', '0.444', '0.457', '0.433', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-01 16:30 Fri', '0.454', '0.441', '0.442', '0.474', '0.429', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-04 16:30 Mon', '0.451', '0.454', '0.450', '0.474', '0.440', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-05 16:30 Tue', '0.438', '0.451', '0.456', '0.471', '0.421', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-06 16:30 Wed', '0.411', '0.438', '0.412', '0.438', '0.408', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-07 16:30 Thu', '0.392', '0.411', '0.422', '0.443', '0.377', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-08 16:30 Fri', '0.414', '0.392', '0.379', '0.428', '0.372', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-11 17:11 Mon', '0.474', '0.414', '0.428', '0.476', '0.428', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-12 16:30 Tue', '0.553', '0.474', '0.480', '0.566', '0.480', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-13 16:30 Wed', '0.555', '0.553', '0.561', '0.570', '0.527', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-14 16:30 Thu', '0.653', '0.555', '0.562', '0.656', '0.527', '0.739', '0.156', '0', '', 'GUKG5:IND']
['2017-09-15 16:30 Fri', '0.734', '0.653', '0.657', '0.773', '0.654', '0.773', '0.156', '0', '', 'GUKG5:IND']
