['2017-08-29 13:45 Tue', '244.69', '244.57', '243.06', '244.74', '242.93', '248.91', '208.38', '34302568', '', 'SPY:US']
['2017-08-30 13:45 Wed', '246.14', '244.85', '244.83', '246.23', '244.62', '248.91', '208.38', '26693552', '', 'SPY:US']
['2017-08-31 13:45 Thu', '247.11', '246.01', '246.72', '247.31', '246.05', '248.91', '208.38', '35095356', '', 'SPY:US']
['2017-09-01 13:45 Fri', '248.22', '247.49', '247.92', '248.33', '247.67', '248.91', '208.38', '28930322', '', 'SPY:US']
['2017-09-04 13:45 Mon', '247.84', '247.49', '247.92', '248.33', '247.67', '248.91', '208.38', '62006989', '', 'SPY:US']
['2017-09-05 13:45 Tue', '245.42', '247.84', '247.26', '247.52', '244.95', '248.91', '208.38', '47389670', '', 'SPY:US']
['2017-09-06 13:45 Wed', '246.89', '246.06', '246.84', '247.08', '246.23', '248.91', '208.38', '29865830', '', 'SPY:US']
['2017-09-07 13:45 Thu', '246.76', '246.90', '247.25', '247.27', '246.40', '248.91', '208.38', '36304301', '', 'SPY:US']
['2017-09-08 13:45 Fri', '246.77', '246.87', '246.54', '247.11', '246.30', '248.91', '208.38', '24263127', '', 'SPY:US']
['2017-09-11 13:45 Mon', '249.19', '246.58', '248.04', '249.30', '248.02', '249.30', '208.38', '34231791', '', 'SPY:US']
['2017-09-12 13:45 Tue', '249.94', '249.21', '249.63', '249.98', '249.42', '249.98', '208.38', '26179163', '', 'SPY:US']
['2017-09-13 13:45 Wed', '250.00', '250.05', '249.72', '250.12', '249.59', '250.12', '208.38', '27300723', '', 'SPY:US']
['2017-09-14 13:45 Thu', '250.13', '250.17', '249.80', '250.32', '249.60', '250.32', '208.38', '31106262', '', 'SPY:US']
['2017-09-15 13:45 Fri', '248.98', '248.86', '248.69', '249.18', '248.57', '250.32', '208.38', '46342534', '', 'SPY:US']
['2017-09-19 13:45 Tue', '249.92', '249.72', '250.00', '250.06', '249.60', '250.32', '208.38', '19556401', '', 'SPY:US']
['2017-09-20 13:45 Wed', '249.84', '249.97', '250.07', '250.19', '249.72', '250.32', '208.38', '19052491', '', 'SPY:US']
['2017-09-21 13:45 Thu', '249.79', '250.06', '249.88', '249.98', '249.19', '250.32', '208.38', '26616410', '', 'SPY:US']
['2017-09-22 13:45 Fri', '249.11', '249.39', '249.05', '249.42', '249.02', '250.32', '208.38', '19380587', '', 'SPY:US']
['2017-09-25 13:45 Mon', '248.60', '249.44', '249.15', '249.55', '248.08', '250.32', '208.38', '30879548', '', 'SPY:US']
['2017-09-27 13:45 Wed', '249.47', '249.08', '249.88', '250.05', '248.87', '250.32', '208.38', '28652757', '', 'SPY:US']
['2017-09-28 13:45 Thu', '250.32', '250.05', '249.73', '250.34', '249.63', '250.49', '208.38', '22751200', '', 'SPY:US']
['2017-09-29 13:45 Fri', '251.06', '250.35', '250.34', '251.16', '250.13', '251.16', '208.38', '22590202', '', 'SPY:US']
['2017-10-02 13:45 Mon', '252.02', '251.23', '251.49', '252.20', '251.40', '252.20', '208.38', '24257398', '', 'SPY:US']
['2017-10-03 13:45 Tue', '252.54', '252.32', '252.46', '252.62', '252.23', '252.62', '208.38', '29246386', '', 'SPY:US']
['2017-10-04 13:45 Wed', '253.22', '252.86', '252.69', '253.44', '252.56', '253.44', '208.38', '24174582', '', 'SPY:US']
['2017-10-05 13:45 Thu', '254.58', '253.16', '253.54', '254.61', '253.40', '254.61', '208.38', '28838345', '', 'SPY:US']
['2017-10-06 13:45 Fri', '254.07', '254.66', '254.15', '254.46', '253.85', '254.68', '208.38', '37441098', '', 'SPY:US']
